,BHK,Car Parking,Description,Facing,Floor,OWNERSHIP,Price
10,4BHKHouse,,"It's a ready to move property, suitable for family, well neighborhood area, Main road facing",North - West,2 out of 2 floors,Power Of Attorney,₹ 40.5 Lac
11,4BHKVilla,"4 Covered, 2 Open",1800sqft residential whole villa for sale in safdarjung enclave.. for more info plzz contact,North - East,,Freehold,₹ 11 Cr
12,4BHKHouse,3 Open,This is beautiful independent house in gulmohar park it has 4 bedrooms and 4 bathrooms near park and gulmohar park club please call more details,North,2 out of 2 floors,Freehold,₹ 13.50 Cr
13,4BHKHouse,3 Open,"A top located independent kothi for sale in sainik farms, Duplex, 4 bedrooms, newly renovated, marble flooring, Separate drawing & dining area,  front lawn, ample water & electricity supply, power back up, clear title registered papers.",South - East,1 out of 2 floors,Power Of Attorney,₹ 6.75 Cr
14,4BHKHouse,1 Covered,"PARK & NORTH FACING KOTHI IN 200yds,CONFIRM & CLEAR TITLE DEAL,FREEHOLD PROPERTY..",North,2 out of 2 floors,Freehold,₹ 10.25 Cr
15,4BHKHouse,2 Open,"4Bedrooms with attched bathrooms, Drawing Dining hall, Kitchen , Sq.The flat faces the south direction and has a good view of the locality. The flat is a freehold property and has a super built-Up area of 2200 sq.Ft. The flat is located in a gated society and offers good security. It offers a number of important facilities like lift(S), water storage, security/fire alarm (Additional), park, visitor parking, piped-Gas and waste disposal. The unit has 2 covered parking. It has a water supply from the municipal corporation.",South - East,1 out of 3 floors,Freehold,₹ 2.35 Cr
16,4BHKHouse,2 Open,"It has 4 sides open, 4 spacious bedrooms with 3 attached bathrooms, living and dining area, kitchen, marble flooring, 4 big balconies, complete wooden work done, bless with full natural light, reserved car parking and close to all amenities.",South - East,1 out of 3 floors,Freehold,₹ 2.40 Cr
17,4BHKHouse,"1 Covered, 2 Open","Independent kothi are available for sale in Paschim Vihar, West Delhi, 150sqyds freehold, with stilt parking, north facingFor  more details and site visitpls contact usClub Road properties",North,2 out of 2 floors,Freehold,₹ 5.32 Cr
18,4BHKHouse,,This property is North East Facing property with Modular kitchen and with Three story building. this property is in gated community and in very well maintained.,North - East,1 out of 3 floors,Freehold,₹ 3 Cr
19,4BHKVilla,2 Covered,its a 4bhk duplax house park facing & east facing  nice location available in malcha marg,East,,Freehold,₹ 48 Cr
20,4BHKHouse,"2 Covered, 2 Open","Janakpuri is a good locality. It has good connectivity to school,Hospital,tempals,park, market mall bank and ATM.",North - East,1 out of 4 floors,Freehold,₹ 2.85 Cr
21,4BHKHouse,"1 Covered, 3 Open",This property is available at good price and the location of the property is good aswell.,South - East,2 out of 2 floors,Freehold,₹ 6.51 Cr
22,4BHKHouse,,4 BHK house is available for sale. It has a covered area of 1400 sq-ft. Please contact for more details. only land prize less market,West,Ground out of 1 floor,Power Of Attorney,₹ 40 Lac
23,4BHKVilla,,DearSirMadamWe have a 4bedroom duplex flat in the heart of saket prime park facing that gives you farm house feeling and can be extended into 7 bedrooms freehold negotiable in between pvr saket @sports compkex and select city walk,North - East,,Freehold,₹ 2.70 Cr
24,4BHKHouse,"3 Covered, 2 Open",400 yds livable house in prime anand niketan ready for sale clear titles  wide road a must see property in prime location,North,Ground out of 2 floors,Freehold,₹ 28 Cr
25,4BHKHouse,,"180 sq yards residential house park facing is available for sale in manak vihar. It has ample car pqrkimg space with it. It is mainly located nearby yamuna sports complex, cross river mall, yojna vihar market, leela kempinski hotel, karkardooma metro station, ram mandir etc",East,1 out of 3 floors,Freehold,₹ 8 Cr
26,4BHKHouse,,"4 BHK residential house is available for sale. It is nearby location School, Park, Bank, Metro station and excellent Market area surround them.",North,Ground out of 2 floors,Freehold,₹ 5 Cr
27,4BHKHouse,3 Covered,Available for sale a 340 sq.yd. single story build up house..it's an 4 bhk unit newly renovated propety Ideal for peaceful living Please make a call for best deal,North - East,Ground out of 1 floor,Freehold,₹ 15.10 Cr
28,4BHKHouse,,"Good location , Ample parking , Just 5 min metro station , Many Options are Available",,2 out of 2 floors,Freehold,₹ 10 Cr
29,4BHKHouse,1 Open,"Its HIG Flat with an excellent location is available for sale in Vikas Puri .The property ownership is freehold type. Its an old property, east facing property with open parking.Other specifications are -Area 1200 sq.fts, 3+1 bhk, with attached bathrooms, 2 sided open.Park and lift facility are available.Spacious rooms and balcony.Nice and Prime location.Good connectivity to market, school, bank and other amenities.Freehold property and negotiable price.Semi furnished Property Easy to loan option available * Feel free to contact us.",North - East,Ground out of 4 floors,Freehold,₹ 1.10 Cr
